Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(nÃºmero)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(Â°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Unnamed: 7,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
2012-02-29,,,,,,,, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-03-31,3.0,,,"19,613326","7,8",,, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-04-30,11.0,"55,4","965,208587","18,746769","8,5","2,880199",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-05-31,5.0,20,"968,400806","16,965457","8,2","2,621909",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-06-30,12.0,"60,4","967,813056","13,704861","8,2","2,276667",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-07-31,14.0,"185,4","968,338844","11,959543","10,3","2,812769",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-08-31,10.0,66,"969,571196","17,373261","10,3","3,27391",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-09-30,13.0,"197,6","967,014306","16,605695",13,"3,974167",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-10-31,16.0,"294,4","963,240726","19,112903","14,8","3,685069",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-11-30,6.0,86,"962,665","22,74125","10,5","3,938056",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2012-12-31,16.0,"378,6","960,521903","23,671768","11,5","3,134561",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-01-31,6.0,95,"963,720699","22,035081","12,2","3,510618",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-02-28,15.0,127,"962,825149","21,960119","10,8","2,71622",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-03-31,14.0,"203,6","964,8775","19,2",16,"3,233583",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-04-30,10.0,"124,4","966,355719","18,873768",9,"2,326431",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-05-31,14.0,"122,2","966,637097","15,284005","9,6","2,121505",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-06-30,19.0,"70,4","967,341376","13,806806","9,7","1,954874",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-07-31,10.0,"72,8","969,758438","12,561407","9,5",",927671",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-08-31,15.0,183,"968,731855","11,797446","10,2","1,469893",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-09-30,15.0,"126,2","966,7225","15,336111","11,3",",719861",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-10-31,11.0,"130,2","965,306428","18,295933","8,7","1,115182",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-11-30,11.0,"129,2","962,536389","21,8825","9,7","2,299028",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2013-12-31,8.0,"127,8","960,772043","24,21707","12,4","1,352285",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-01-31,13.0,"215,8","963,280645","23,70914","11,6",",787231",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-02-28,12.0,"164,6","963,481697","23,455804","10,1","1,370089",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-03-31,13.0,"139,2","964,14879","20,575403",8,",634409",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-04-30,11.0,"135,2","966,47375","19,289583","11,5","1,53375",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-05-31,20.0,"239,2","967,199328","15,045027","11,2",",823253",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-06-30,21.0,361,"967,051806","13,56125","13,7","2,299722",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-07-31,14.0,"166,8","969,963038","13,809274","8,3","1,388172",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-08-31,14.0,"81,4","968,293548","14,971909","9,4","1,090995",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-09-30,15.0,"319,4","964,741945","16,953472","12,4","2,33625",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-10-31,14.0,"246,2","965,132498","20,271523","14,5","2,228904",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-11-30,13.0,76,"963,033194","22,048472","9,5","1,527361",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2014-12-31,15.0,"156,2","962,329032","22,488307","13,7","1,647581",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-01-31,14.0,"177,4","964,082393","22,632796","9,6",",983737",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
