product,grape,score,avg_price_liter
"Catena  Zapata 'Catena' Appellation Lunlunta Malbec, Lujan de Cuyo",  Malbec  ,90.0,154.67
"Vina Cobos Felino Cabernet  Sauvignon, Mendoza",  Cabernet Sauvignon  ,89.0,129.33
"Flechas  de los Andes 'Aguaribay' Malbec, Vista Flores",  Malbec  ,88.0,89.33
"Bodega y Cavas de  Weinert Malbec, Lujan de Cuyo",  Malbec  ,88.0,186.67
"Inverted Flamingo  High Altitude Malbec, Mendoza",  Malbec  ,,137.33
"Andeluna 1300 Malbec,  Uco Valley",  Malbec  ,88.0,89.33
"Zorzal  Eggo Tinto de Tiza, Gualtallary",  Malbec  ,92.0,146.67
"Michel  Rolland Mariflor Malbec, Vista Flores",  Malbec  ,90.0,146.67
"Antigal 1 Uno Cabernet  Sauvignon, Mendoza",  Cabernet Sauvignon  ,87.0,105.33
"Altos Las Hormigas  Reserve Malbec, Uco Valley",  Malbec  ,90.0,178.67
"Bodegas Salentein Portillo  Malbec, Mendoza",  Malbec  ,87.0,73.33
"Luigi Bosca De  Sangre Malbec, Uco Valley",  Malbec  ,90.0,178.67
"Pascual Toso  Alta Reserve Barrancas Vineyards Malbec, Barrancas",  Malbec  ,89.0,210.67
"Vina  Cobos Bramare Marchiori Estate Malbec, Perdriel",  Malbec  ,92.0,617.33
"Marcelo  Pelleriti Selection Grand Reserve Blend of Terroir, Uco Valley",  Red Blend  ,90.0,226.67
"Renacer Milamore - Enamore,  Mendoza",  Red Blend  ,88.0,162.67
"Familia Zuccardi  'Zuccardi Q' Cabernet Sauvignon, Uco Valley",  Cabernet Sauvignon  ,89.0,121.33
"Bemberg  Estate Wines 'Pionero', Gualtallary",  Cabernet Sauvignon - Malbec  ,92.0,1112.0
"The Waxed Bat Reserve  Cabernet Sauvignon - Malbec, Mendoza",  Cabernet Sauvignon - Malbec  ,87.0,121.33
"Pascual Toso Malbec, Maipu,",  Malbec  ,86.0,81.33
"Bodegas  Salentein Numina Spirit Vineyard Gran Corte, Uco Valley",  Bordeaux Blend Red  ,90.0,202.67
"Trapiche Medalla  Malbec, Uco Valley",  Malbec  ,89.0,129.33
"Alta Vista Atemporal Blend,  Mendoza",  Red Blend  ,90.0,121.33
"Cuvelier  Los Andes Grand Vin, Vista Flores",  Malbec  ,91.0,244.0
"Kaiken Mai The  First Malbec, Vistalba",  Malbec  ,91.0,397.33
"Escala Humana  'Credo' Semillon, Uco Valley",  Semillon  ,94.0,405.33
