product,grape,score,avg_price_liter
"Concha y Toro Amelia  Chardonnay, Limari Valley",  Chardonnay  ,91,365.33
"Lapostolle Grand  Selection Cabernet Sauvignon, Rapel Valley",  Cabernet Sauvignon  ,86,97.33
"Marques de  Casa Concha Heritage, Puente Alto",  Cabernet Franc - Cabernet  Sauvignon  ,92,430.67
"Aristos 'Baron d'A', Cachapoal  Valley",  Cabernet - Merlot - Syrah  ,91,324.0
"Vina Tarapaca  Etiqueta Azul Gran Reserva, Maipo Valley",  Cabernet - Syrah/Shiraz  ,91,268.0
"Vina Ventisquero  Vertice, Apalta",  Carmenere - Syrah  ,92,226.67
"Pangea Syrah, Apalta",  Syrah  ,92,349.33
"Vina El Principal  'Memorias', Maipo Valley",  Cabernet Sauvignon - Carmenere  ,91,260.0
"Luis Felipe Edwards 'LFE  900', Colchagua Valley",  Red Blend  ,89.0,236.0
"Montes Classic Series  Merlot, Colchagua Valley",  Merlot  ,85.0,81.33
"Concha  y Toro 'Terrunyo' Block Las Terrazas Pirque Vineyard Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,91.0,276.0
"Caballo Loco Grand  Cru Apalta, Colchagua Valley",  Cabernet Sauvignon - Carmenere  ,90.0,268.0
"Casa Silva 'Cool  Coast' Sauvignon Blanc, Colchagua Valley",  Sauvignon Blanc  ,91.0,121.33
"Concha y Toro  Frontera Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,80.0,32.0
"Culitos Merlot, Central Valley,",  Merlot  ,,57.33
"Santa  Ema Catalina Cabernet Sauvignon - Carmenere - Cabernet Franc, Cachapoal Valley",  Bordeaux Blend Red  ,91.0,349.33
"Lapostolle  Cuvee Alexandre Merlot, Apalta",  Merlot  ,89.0,170.67
"Undurraga Altazor, Maipo Valley,",  Red Blend  ,93.0,421.33
"Undurraga  T.H. 'Terroir Hunter' Leyda Syrah, San Antonio Valley",  Syrah  ,92.0,146.67
"Montes  Limited Selection Cabernet Sauvignon - Carmenere, Apalta",  Cabernet Sauvignon - Carmenere  ,87.0,89.33
"Cerveza Austral Calafate Ale Beer,",  Beer  ,,24.0
"Vina Tarapaca Gran  Reserva Carmenere, Maipo Valley",  Carmenere  ,88.0,113.33
"Lapostolle  Cuvee Alexandre Apalta Vineyard Carmenere, Apalta",  Carmenere  ,89.0,162.67
"Marques de Casa Concha  Chardonnay, Limari Valley",  Chardonnay  ,90.0,137.33
"Arboleda Carmenere, Colchagua  Valley",  Carmenere  ,90.0,146.67
"Santa  Carolina Herencia Carmenere, Peumo",  Carmenere  ,91.0,649.33
"Valdivieso Merlot, Central Valley,",  Merlot  ,83.0,57.33
"Emiliana Novas Gran  Reserva Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,81.33
"Vina  Haras de Pirque 'Albis' Cabernet Sauvignon - Carmenere, Maipo Valley",  Cabernet Sauvignon - Carmenere  ,91.0,316.0
"Caballo Loco Grand Cru  Maipo Andes, Maipo Valley",  Cabernet Franc - Cabernet  Sauvignon  ,91.0,324.0
"Montes Alpha Pinot  Noir, Aconcagua Costa",  Pinot Noir  ,89.0,129.33
Cono Sur Bicicleta Reserva Cabernet  Sauvignon,  Cabernet Sauvignon  ,86.0,65.33
"Vina Aquitania Lazuli  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,92.0,252.0
"Casa Marin Cipreses  Vineyard Sauvignon Blanc, San Antonio Valley",  Sauvignon Blanc  ,92.0,154.67
"Marques de Casa Concha  Merlot, Maule Valley",  Merlot  ,88.0,137.33
"Neyen Espiritu de Apalta,  Colchagua Valley",  Cabernet Sauvignon - Carmenere  ,92.0,494.67
"Santa Helena Cabernet  Sauvignon, Central Valley",  Cabernet Sauvignon  ,83.0,49.33
"Vinedos de Alcohuaz  'RHU de Alcohuaz' Mezcla Tinta, Elqui Valley",  Red Blend  ,94.0,365.33
"Vina  Ventisquero 'Grey' Glacier Trinidad Vineyard Single Block Cabernet Sauvignon, Maipo Valley,",  Cabernet Sauvignon  ,90.0,129.33
Kunstmann Torobayo Beer,  Beer  ,,24.0
"Waqar Pisco, Limari Valley",  Pisco  ,,284.0
"Errazuriz Estate  Series Cabernet Sauvignon, Aconcagua Valley",  Cabernet Sauvignon  ,87.0,73.33
"Santa Ema Reserve Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,87.0,81.33
"Valdivieso Cabernet Sauvignon,  Central Valley",  Cabernet Sauvignon  ,82.0,57.33
"Santa Carolina VSC  Red Assemblage, Maipo Valley",  Red Blend  ,91.0,373.33
Vina Quebrada de Macul  Penalolen 'Azul' Red,  Red Blend  ,93.0,324.0
"Concha y Toro Amelia  Pinot Noir, Limari Valley",  Pinot Noir  ,92.0,373.33
"Vina von Siebenthal  'Montelig', Aconcagua Valley",  Bordeaux Blend Red  ,91.0,381.33
Mistral Nobel Pisco,  Pisco  ,,178.67
"Perez Cruz Reserva Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,88.0,89.33
Casillero del Diablo  Devil's Collection Reserva Red,  Red Blend  ,86.0,81.33
"Errazuriz La Cumbre Syrah,  Aconcagua Valley",  Syrah  ,92.0,430.67
"Vina Tarapaca Reserva  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,85.0,65.33
"Vina  Tarapaca Etiqueta Negra Gran Reserva Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90.0,194.67
"Vina Ventisquero 'Tara  Atacama' White Wine 1 Chardonnay, Atacama",  Chardonnay  ,93.0,276.0
"Montes  Alpha Edicion Limitada 30 Anos Cabernet Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,,333.33
"Montes Alpha Special  Cuvee Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,91.0,178.67
"Miguel  Torres Cordillera de Los Andes Chardonnay, Limari Valley",  Chardonnay  ,90.0,113.33
"Papi Cabernet Sauvignon Demi  Sec, Central Valley",  Cabernet Sauvignon  ,,49.33
"Baettig  Seleccion de Parcelas 'Los Primos' Chardonnay, Traiguen",  Chardonnay  ,95.0,413.33
"MontGras Antu  Cabernet Sauvignon - Carmenere, Colchagua Valley",  Cabernet Sauvignon - Carmenere  ,88.0,121.33
"Primus The Blend, Apalta,",  Red Blend  ,89.0,121.33
"Tabali 'Talinay' Chardonnay,  Limari Valley",  Chardonnay  ,92.0,129.33
"Baron  Philippe de Rothschild Escudo Rojo Reserva Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,113.33
"Tres Erres Moai Pisco Reservado,",  Pisco  ,,268.0
"Baron Philippe  de Rothschild Escudo Rojo, Central Valley",  Red Blend  ,88.0,113.33
