product,grape,score,avg_price_liter
"Veuve  Clicquot Ponsardin La Grande Dame Brut, Champagne",  Champagne Blend  ,93.0,26.67
"Chateau Meyney, Saint-Estephe,",  Bordeaux Blend Red  ,91.0,264.0
"Domaine  Jacques-Frederic Mugnier Le Musigny Grand Cru, Cote de Nuits",  Pinot Noir  ,96.0,868.0
"Domaine  Leflaive Clavoillon, Puligny-Montrachet Premier Cru",  Chardonnay  ,92.0,309.33
"Egly-Ouriet Grand  Cru Brut Millesime, Champagne",  Champagne Blend  ,94.0,574.67
"Domaine  Leflaive Puligny-Montrachet, Cote de Beaune",  Chardonnay  ,90.0,752.0
"Chateau Le  Tertre-Roteboeuf, Saint-Emilion",  Bordeaux Blend Red  ,95,158.67
"Chateau Beau-Sejour  Becot, Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,93,554.67
"Chateau Canon la  Gaffeliere, Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,93,652.0
"Chateau Palmer Alter Ego  de Palmer, Margaux",  Bordeaux Blend Red  ,91,610.67
"Dom Perignon P3  Plenitude Brut, Champagne",  Champagne Blend  ,96,594.67
"E. Guigal Cote Rotie La  Landonne, Rhone",  Syrah  ,96,104.0
"Louis-Benjamin  - Didier Dagueneau Pouilly-Fume Silex, Loire",  Sauvignon Blanc  ,93,117.33
"Chateau Chasse-Spleen,  Moulis-en-Medoc",  Bordeaux Blend Red  ,88,309.33
"Domaine  Jacques-Frederic Mugnier Clos de la Marechale, Nuits-Saint-Georges Premier Cru",  Pinot Noir  ,91,313.33
"Domaine du Pegau  Chateauneuf-du-Pape Cuvee Reservee, Rhone",  Southern Rhone Red Blend  ,92,529.33
"Chateau Cantenac Brown,  Margaux",  Bordeaux Blend Red  ,92,440.0
"Chateau L'Eglise-Clinet, Pomerol,",  Cabernet Franc - Merlot  ,95,565.33
Louis XIII de Remy  Martin Grande Champagne Cognac,  Brandy  ,92,105.33
"Domaine Rene  Rostaing Cote Rotie La Landonne, Rhone",  Syrah  ,94,1125.33
"Domaine de la Grange des  Peres, IGP Pays d'Herault",  Cabernet - Mourvedre - Syrah  ,90,210.67
"Domaine Jamet Cote Rotie, Rhone,",  Syrah  ,94,444.0
"Chateau Valandraud,  Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,94,1206.67
