product,grape,score,avg_price_liter
"Salton  Evidence Cuvee Sur Lie Espumante Branco Nature, Rio Grande do Sul",  Chardonnay - Pinot Noir  ,,138.67
"Valmarino Nature Sur  Lie Branco, Rio Grande do Sul",  White Blend  ,90.0,138.67
"Lidio  Carraro 'Faces do Brasil' Pinot Noir Brut Rose, Serra do Sudeste",  Pinot Noir  ,,73.33
"Lidio  Carraro 'Faces do Brasil' Moscatel Espumante, Serra do Sudeste",  Muscat  ,88.0,73.33
"Lidio Carraro  'Faces do Brasil' Brut, Serra do Sudeste",  Chardonnay - Pinot Noir  ,,73.33
"RAR  Collezione Pinot Noir, Campos de Cima da Serra",  Pinot Noir  ,,122.67
"RAR  Collezione Viognier, Campos de Cima da Serra",  Viognier  ,89.0,138.67
"Vitoria  Regia Organic Tropical London Dry Gin, Rio Grande do Sul",  Gin  ,,146.67
"Vinicola Campestre  'Zanotto' Malbec, Rio Grande do Sul",  Malbec  ,85.0,65.33
"Casa Valduga  Premivm Brut, Serra do Sudeste",  Chardonnay - Pinot Noir  ,,106.67
"Lidio  Carraro Dadivas Espumante Brut, Encruzilhada do Sul",  White Blend  ,,106.67
"Casa  Valduga Identidade Gewurztraminer, Encruzilhada do Sul",  Gewurztraminer  ,89.0,106.67
"Vinicola  Hermann Matiz Cabernet Sauvignon, Serra do Sudeste",  Cabernet - Syrah/Shiraz  ,,73.33
"Vinicola  Hermann Matiz Touriga Nacional, Serra do Sudeste",  Cabernet Sauvignon  ,,73.33
"Don Guerino  Reserva Pinot Noir, Encruzilhada do Sul",  Pinot Noir  ,,106.67
"Casa  Valduga Naturelle Tinto Reserva, Serra do Sudeste",  Red Blend  ,,98.67
"Valmarino Nature Sur  Lie Tinto, Rio Grande do Sul",  Red Blend  ,,138.67
"Valmarino Nature Sur  Lie Rose, Rio Grande do Sul",  Rose Blend  ,,196.0
"Marzarotto  Gran Reserva Cabernet Franc, Serra do Sudeste",  Cabernet Franc  ,,196.0
"Marzarotto  Pleno Merlot, Campos de Cima da Serra",  Merlot  ,,81.33
"Marzarotto Gran  Reserva Tannat, Serra do Sudeste",  Tannat  ,,196.0
"Marzarotto  Pleno Cabernet Franc, Serra do Sudeste",  Cabernet Franc  ,,81.33
"Casa  Valduga Terroir Gewurztraminer, Serra do Sudeste",  Gewurztraminer  ,89.0,114.67
"Vitoria  Regia Organic Citrus London Dry Gin, Rio Grande do Sul",  Gin  ,,146.67
"Vinicola  Campestre 'Zanotto' Pinot Noir, Campos de Cima da Serra",  Pinot Noir  ,,65.33
"Garbo Duo Cabernet - Cabernet, Rio  Grande do Sul",  Cabernet Sauvignon  ,,98.67
"Marzarotto Gran  Reserva Chardonnay, Serra do Sudeste",  Chardonnay  ,,188.0
"Vinicola  Hermann Matiz 'Plural', Serra do Sudeste",  Cabernet - Syrah - Tempranillo  ,,73.33
