product,grape,score,avg_price_liter
"Adega Viuva  Gomes Tinto, Colares",  Ramisco  ,89,844.0
"Quinta do Vesuvio Tinto, Douro,",  Portuguese Red Blend  ,92,397.33
"Barbeito Boal, Madeira",  Bual (Malvasia Fina)  ,93,596.0
Wiese & Krohn Vintage  Port,  Port Blend Red  ,90,738.67
D'Oliveiras Sercial Vintage  Madeira,  Sercial  ,91,1044.0
"Casa Santos  Lima Red Blend, Vinho Regional Lisboa",  Portuguese Red Blend  ,87,65.33
Quinta  do Noval Unfiltered Late Bottled Vintage Port,  Port Blend Red  ,90,162.67
Quinta do Noval  Silval Vintage Port,  Port Blend Red  ,90,333.33
"Niepoort Garrafeira Port,",  Port Blend Red  ,95,480.0
"Luis Pato Vinhas Velhas  Branco, Beiras",  Bical  ,89,105.33
Broadbent Vinho Verde,  Arinto (Pederna) - Loureiro  ,85,65.33
D'Oliveiras Terrantez  Vintage Madeira,  Terrantez  ,91,809.33
W & J  Graham's 40 Year Old Tawny Port,  Port Blend Red  ,93,1185.33
"Casa  Santos Lima 'Confidencial' Reserva Tinto, Vinho Regional Lisboa",  Portuguese Red Blend  ,89,73.33
"Quinta do Crasto Touriga  Nacional, Douro",  Touriga Nacional  ,92,438.67
"Quinta do Crasto Superior, Douro,",  Portuguese Red Blend  ,90,137.33
"Wine & Soul 'Quinta  da Manoella' Vinhas Velhas, Douro",  Portuguese Red Blend  ,92,544.0
Quinta do Vale Meao  Vintage Port,  Port Blend Red  ,92,584.0
"Lobo e Falcao Tinto, Vinho  Regional Tejo",  Portuguese Red Blend  ,85,89.33
Blandy's Vintage Madeira  Terrantez,  Terrantez  ,93,501.33
"Quinta do Crasto Vinha da  Ponte, Douro",  Portuguese Red Blend  ,93,394.67
"Super Bock Cerveja Pilsner Beer,  Lisboa",  Beer  ,84,24.0
"Niepoort Redoma Reserva Branco,  Douro",  Portuguese White Blend  ,91,236.0
"Martinez Vintage Port,",  Port Blend Red  ,89,981.33
"Ferreira Tawny Port,",  Port Blend Red  ,85,89.33
Cockburn's  Late Bottled Vintage Port,  Port Blend Red  ,89,162.67
Porto Cruz Tawny Port,  Port Blend Red  ,80,89.33
"Quinta do Vale  D. Dona Maria 'Vinha da Francisca', Douro",  Portuguese Red Blend  ,93,494.67
"Quinta do Vallado Tinto, Douro,",  Portuguese Red Blend  ,89,97.33
W & J  Graham's Six Grapes Reserve Port,  Port Blend Red  ,88,162.67
Alexandre de Almeida Hotels  'Bucaco' Tinto,  Portuguese Red Blend  ,92,576.0
"Ramos Pinto Duas Quintas, Douro,",  Tinta Roriz (Aragonez) - Touriga  ,88,105.33
Quarles Harris Vintage  Port,  Port Blend Red  ,90,510.67
Ramos  Pinto Late Bottled Vintage Port,  Port Blend Red  ,90.0,162.67
"Barao de Vilar  Vilarissa Valley Tinto, Douro",  Portuguese Red Blend  ,87.0,89.33
Croft  Quinta da Roeda Vintage Port,  Port Blend Red  ,91.0,308.0
Taylor  Fladgate 40 Year Old Tawny Port,  Port Blend Red  ,93.0,78.67
"Casa de Saima Reserva  Bruto, Bairrada",  Portuguese White Blend  ,86.0,81.33
Sandeman Late  Bottled Vintage Port,  Port Blend Red  ,90.0,178.67
"Anselmo Mendes  'Parcela Unica' Alvarinho, Vinho Verde",  Albarino (Alvarinho)  ,93.0,236.0
"Wine & Soul Pintas Character  Tinto, Douro",  Portuguese Red Blend  ,91.0,210.67
"Ramos Pinto Duas Quintas  Reserva, Douro",  Portuguese Red Blend  ,90.0,244.0
Sandeman Vau Vintage  Porto,  Port Blend Red  ,89.0,276.0
Fonseca Late  Bottled Vintage Port,  Port Blend Red  ,90.0,154.67
"Niepoort Redoma Branco, Douro,",  Portuguese White Blend  ,90.0,129.33
"Casa Ferreirinha Callabriga,  Douro",  Tempranillo  ,89.0,178.67
Quinta de la Rosa  Vintage Port,  Port Blend Red  ,92.0,373.33
Porto Cruz 'Gran  Cruz' 10 Year Old Tawny Port,  Port Blend Red  ,88.0,178.67
Joa,  Portuguese Red Blend  ,87.0,65.33
Sandeman 40 Year  Old Tawny Porto,  Port Blend Red  ,93.0,1088.0
