product,grape,score,avg_price_liter
"Le Ragnaie Brunello  di Montalcino DOCG, Tuscany",  Sangiovese  ,91,453.33
"Montevertine Toscana IGT, Tuscany,",  Chianti Blend  ,92,528.0
"Bibi Graetz Colore Toscana IGT,  Tuscany",  Chianti Blend  ,94,298.67
"Lodovico  Antinori Tenuta di Biserno 'Biserno' Bibbona Toscana IGT, Tuscany",  Bordeaux Blend Red  ,94,973.33
"Fuligni Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,93,634.67
"Tua Rita Giusto di Notri  Toscana IGT, Tuscany",  Bordeaux Blend Red  ,93,518.67
"Sassetti  Livio Pertimali Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,494.67
"Fattoria dei  Barbi Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,90,428.0
"Roagna Crichet Paje,  Barbaresco DOCG",  Nebbiolo  ,96,546.67
"Poderi  Aldo Conterno Granbussia, Barolo Riserva DOCG",  Nebbiolo  ,95,1232.0
"G. B. Burlotto Barolo  'Acclivi', Barolo DOCG",  Nebbiolo  ,93,233.33
"Tenuta Luce Brunello  di Montalcino DOCG, Tuscany",  Sangiovese  ,92,808.0
"Cappellano  Otin Fiorin Pie Franco - Michet, Barolo DOCG",  Nebbiolo  ,94,1005.33
"Ciacci  Piccolomini d'Aragona Pianrosso, Brunello di Montalcino DOCG",  Sangiovese  ,93,528.0
"Tenuta di Trinoro Toscana IGT,  Tuscany",  Bordeaux Blend Red  ,94,241.33
"Felsina Berardenga  Fontalloro Toscana IGT, Tuscany",  Sangiovese  ,93,420.0
"Tenuta San Guido Le Difese  Toscana IGT, Tuscany",  Cabernet - Sangiovese  ,89,165.33
"Conti Costanti  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,626.67
"Cavallotto Bricco  Boschis, Barolo DOCG",  Nebbiolo  ,92,552.0
"Cerbaiona  di Diego Molinari Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,93,1228.0
