product,grape,score,avg_price_liter
"Domaine  Bonneau du Martray Corton-Charlemagne Grand Cru, Cote de Beaune",  Chardonnay  ,94,3124.0
"Chateau  Malescot-St-Exupery, Margaux",  Bordeaux Blend Red  ,92.0,494.67
"Chateau Sociando-Mallet,  Haut-Medoc",  Bordeaux Blend Red  ,90.0,297.33
"Perrier-Jouet  Belle Epoque - Fleur de Champagne Millesime Brut, Champagne",  Champagne Blend  ,92.0,1336.0
"Chateau Gloria,  Saint-Julien",  Bordeaux Blend Red  ,91.0,354.67
Hennessy Pure White Cognac,  Brandy  ,,1336.0
"Chateau Suduiraut, Sauternes,",  Sauvignon Blanc - Semillon  ,94.0,469.33
"Chateau Phelan Segur,  Saint-Estephe",  Bordeaux Blend Red  ,91.0,354.67
"Domaine  Dujac Clos de la Roche Grand Cru, Cote de Nuits",  Pinot Noir  ,94.0,8029.33
"Domaine  du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits",  Pinot Noir  ,96.0,6928.0
Chateau Gazin Pomerol,  Bordeaux Blend Red  ,92.0,634.67
"Jacques Selosse Millesime,  Champagne",  Champagne Blend  ,95.0,4694.67
"Domaine  Leflaive Les Pucelles, Puligny-Montrachet Premier Cru",  Chardonnay  ,93.0,4633.33
"Rare Brut Millesime, Champagne,",  Champagne Blend  ,93.0,1409.33
"Chateau La Lagune, Haut-Medoc,",  Bordeaux Blend Red  ,91.0,445.33
"Domaine  Ponsot Clos de la Roche Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits",  Pinot Noir  ,95.0,3981.33
"Chateau Pavie Macquin,  Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,94.0,634.67
"Louis Roederer  Cristal Brut Rose Millesime, Champagne",  Chardonnay - Pinot Noir  ,96.0,4320.0
"Domaine  Georges & Christophe Roumier Chambolle-Musigny, Cote de Nuits",  Pinot Noir  ,90.0,4294.67
"Domaine  Leflaive Batard-Montrachet Grand Cru, Cote de Beaune",  Chardonnay  ,94.0,9430.67
"Veuve  Clicquot Ponsardin La Grande Dame Brut, Champagne",  Champagne Blend  ,93.0,1360.0
"Chateau Meyney, Saint-Estephe,",  Bordeaux Blend Red  ,91.0,264.0
"Domaine  Jacques-Frederic Mugnier Le Musigny Grand Cru, Cote de Nuits",  Pinot Noir  ,96.0,10201.33
"Domaine  Leflaive Clavoillon, Puligny-Montrachet Premier Cru",  Chardonnay  ,92.0,2976.0
"Egly-Ouriet Grand  Cru Brut Millesime, Champagne",  Champagne Blend  ,94.0,4574.67
"Domaine  Leflaive Puligny-Montrachet, Cote de Beaune",  Chardonnay  ,90.0,2085.33
