product,grape,score,avg_price_liter
"Bodegas Hacienda  Monasterio, Ribera del Duero",  Red Blend  ,92,288.0
"Bodegas Rafael  Palacios Sorte O Soro, Valdeorras",  Godello  ,95,801.33
"Bodegas Campo Viejo Tempranillo,  Rioja DOCa",  Tempranillo  ,86,65.33
"Yjar, Rioja DOCa",  Rioja Red Blend  ,95,948.0
"Bodegas Protos Reserva,  Ribera del Duero",  Tempranillo  ,90,214.67
"Bodegas Campo Viejo Reserva, Rioja DOCa,",  Tempranillo  ,87,90.67
"Bodegas Emilio Moro, Ribera  del Duero",  Tempranillo  ,89,165.33
"Juve y  Camps Reserva de la Familia Gran Reserva Brut Nature Cava, Catalonia",  Cava Blend  ,89,116.0
"Baron de Ley Reserva, Rioja DOCa,",  Tempranillo  ,89,106.67
Abadia  Retuerta Seleccion Especial Vino de la Tierra de Castilla y Leon,  Cabernet - Syrah - Tempranillo  ,91,214.67
"Clos i  Terrasses Clos Erasmus 'Laurel', Priorat DOCa",  Cabernet - Grenache - Syrah  ,92,362.67
"Bodegas  Rafael Palacios 'As Sortes Val do Bibei' Godello, Valdeorras",  Godello  ,93,378.67
Bodegas  Mauro 'Terreus' Paraje de Cueva Baja Vino de la Tierra de Castilla y Leon,  Tempranillo  ,94,800.0
"Senorio de San Vicente  Tempranillo, Rioja DOCa",  Tempranillo  ,93,388.0
Bodegas  Mauro 'Mauro VS' Vendimia Seleccionada Vino de la Tierra de Castilla y Leon,  Tempranillo  ,93,544.0
"Comando  G 'Tumba del Rey Moro' Villa Nueva de Avila, Castilla y Leon",  Grenache (Garnacha)  ,94,1049.33
"Comando  G 'Rozas Premier-Primer Cru' Sierra de Gredos, Madrid",  Grenache (Garnacha)  ,92,412.0
"Marques de Caceres Reserva,  Rioja DOCa",  Rioja Red Blend  ,90,132.0
"Mas Martinet 'Clos  Martinet' Tinto, Priorat DOCa",  Red Blend  ,93,510.67
Felix Solis 'Mucho Mas' Tinto,  Syrah - Tempranillo  ,88,41.33
"Marques de Murrieta  'Capellania' Reserva, Rioja DOCa",  Macabeo (Viura)  ,92,396.0
"Bodegas LAN Gran Reserva, Rioja DOCa,",  Carignan - Grenache - Tempranillo  ,90,165.33
"Bodegas Juan  Gil 12 Meses Silver Label Monastrell, Jumilla",  Monastrell  ,91,90.67
"Comando G Las Umbrias, Madrid",  Grenache (Garnacha)  ,93,192.0
"Raul Perez  Ultreia Saint Jacques, Bierzo",  Mencia  ,90,132.0
"El Coto Crianza, Rioja DOCa,",  Tempranillo  ,87,82.67
